title;price;description
30x40 cm-ig;9 - 25.000 Ft;Kisebb képek
50x70 cm-ig;25 - 55.000 Ft;Közepes képek
50x70 cm felett;55.000 Ft-tól;Nagyobb képek
Falfestés;15.000 Ft/m2-től;
