date;day;logo;title;image;category;color;text
2020.07.04.;Szombat;"<i class=""fas fa-smile""></i>";I. online művész találkozó;1_konf_plakat.jpg;online;blue;Július 4-én kerül megrendezésre 15:00-s kezdettel az I. online művésztalálkozó, ahol a csakahazait! mozgalom alapítója, Hegedűs György vezetésével betekintést nyerhettek az online marketing világába, illetve valós példálon keresztül láthatjátok hogyan lehet tudatosan marketingelni a termékeiteket. Témáink: megváltozott a világ, irány az online tér! Könnyű trükkök a siker érdekében. Mit csinálhatok rosszul? Mitől lehet egy másik poszt sokkal sikeresebb? Elemzési adatok, optimalizálás. Saját honlap, kereső optimalizálás. Hogyan lehetek én az első a világon? Belföldi piac vs. külföldi piac. Végül, de nem utolsó sorban: a csakahazait! honlapra való felkerülés feltételei.
2020.06.28.;Vasárnap;"<i class=""fas fa-smile""></i>";Weboldal premier;breaking-news.png;weblap;red;Debütál honlapunk, a www.csakahazaitveszem.hu. Célunk egy átlátható, egyszerű weboldal biztosítása, ahol megtalálható minden lényeges információ a csakahazait! mozgalommal, a facebook csoportunkkal és művészeinkkel kapcsolatban. 
2020.06.21.;Vasárnap;"<i class=""fas fa-heart""></i>";#miattadvagyokitt;miattadvagyokitt.png;játék;green;Véget ért a #miattadvagyokitt kampányunk, amelyet elsöprő sikerrel, 332 szavazattal Farkasné Márta Barbara nyert meg. Ezúton is gratulálunk neki és köszönjük a sok-sok meghívást és a kitartó munkát!
2020.06.07.;Vasárnap;"<i class=""fas fa-play-circle""></i>";csakahazait! mozgalom megalapítása;csakahazait_logo_RGB.png;csoport;yellow;Június 7-én, egy vasárnapi napon megalapul a csakahazait! mozgalom és az ezzel együtt járó Facebook csoportunk. Célunk egy szuperjó közösség felépítése, amely közelebb hozza a hazai kistermelőket, alkotókat, művészeket és szolgáltatókat a közönségükhöz. Ezúton is köszönjük Kempe István javaslatát és támogatását! 
